Uphc,DMA,MHH Cons,MNHH Cons,Months,Years,Distribution Input,Mean Air Temperature,Annual sunshine,Maximum Temperature,Annual Precipitation,minimum air temperature
449.06,254.4943695,487.4187313,303.7650278,April,2025-26 Forecast,1965.088137,10.3,246.3,16.2,19.8,4.4
446.16,280.5735356,463.9159463,309.5805849,April,2024-25,1917.167916,9.2,124.2,13.1,79.9,5.2
442.7,303.8428176,454.2713699,310.7179056,April,2023-24,1921.6307,8.3,153,12.6,64.1,4
419.03,323.969543,451.867754,306.9202921,April,2022-23,1945.592948,8.8,177.8,13.8,23.9,3.8
390.97,309.6654337,470.4716203,288.84,April,2021-22,2007.276103,6.1,220.3,11.6,13.5,0.6
414,324.3549635,407.9332,241.97,April,2020-21,2001.416085,10.2,233.9,15.9,28.2,4.6
418.29,366.2853726,395.585,337.95,April,2019-20,1952.312642,8.7,168.5,13.9,35.9,3.5
411.31,373.6252998,376.257,336.0293713,April,2018-19,1916.732859,9.4,114.1,13.1,79.1,5.7
420.84,341.9307582,357.84,333.32997,April,2017-18,1934.067287,8.7,175.4,13.5,16.3,3.9
461.7,261.687514,497.6908549,309.9135541,May,2025-26 Forecast,2040.23376,12.9,250.2,18.7,31.3,7.1
433.17,276.056899,461.6473957,312.2153017,May,2024-25,1944.76993,13.7,161.3,18.1,81.6,9.3
464.07,304.1417039,454.1134747,316.2065512,May,2023-24,1983.834534,12.3,219.5,17.4,34.9,7.3
431.96,306.5078688,449.7419283,315.7670322,May,2022-23,1981.595996,12.8,160,17.3,50.4,8.3
385.87,309.0486168,469.0215083,302.04,May,2021-22,1943.738427,9.9,156.5,14.4,119,5.3
428.94,352.2584567,409.5514,244.12,May,2020-21,2109.943258,12.3,293.5,18.3,6.7,6.3
425.41,392.252486,396.21,338.42,May,2019-20,1968.568186,11,196,16.1,42.6,6
427.62,388.4669738,377.792,335.1004583,May,2018-19,1988.646087,13,249.8,18.7,55.1,7.4
433.54,347.8422581,359.374,338.9812748,May,2017-18,1980.661201,12.9,197.7,17.7,55.8,8.1
469.21,271.388417,504.2296706,313.6288179,June,2025-26 Forecast,2064.893865,17,231.1,22.3,37.5,11.8
453.45,275.8402924,463.2568,315.16543,June,2024-25,1998.04241,14,197.1,18.8,34.1,9.1
481.52,320.6004365,457.6759858,321.8286091,June,2023-24,2102.712428,16.7,240.9,22.4,48.5,11
444.3,316.0002933,449.7419283,317.9725171,June,2022-23,2029.144794,14.8,211.5,20.1,45.7,9.5
433.62,350.0031631,468.7037955,304.12,June,2021-22,2072.318802,15.4,185,20.2,36.7,10.6
424.41,359.8496424,417.4762,248.86,June,2020-21,2046.01567,15,172,19.7,93.1,10.4
406.05,372.7893585,398.863,337.72,June,2019-20,1954.881616,14,145.2,18.4,124.1,9.6
430.21,407.8878071,378.24,343.736546,June,2018-19,2076.651266,15.9,232.1,21.5,11.4,10.4
426.73,354.3194738,357.94,337.6362597,June,2017-18,2040.847526,15.8,173.7,20.3,66.2,11.4
460.5,296.4562205,501.6301781,314.8067964,july,2025-26 Forecast,2077.712432,18.1,202.8,23.2,52.2,13
